iter	Passed	Remaining
775	7566	2184
776	7575	2174
777	7584	2164
778	7593	2154
779	7603	2144
780	7614	2135
781	7624	2125
782	7633	2115
783	7642	2105
784	7652	2095
785	7661	2086
786	7670	2075
787	7679	2066
788	7687	2055
789	7697	2046
790	7707	2036
791	7716	2026
792	7726	2016
793	7735	2006
794	7744	1997
795	7753	1987
796	7763	1977
797	7773	1967
798	7782	1957
799	7792	1948
800	7802	1938
801	7811	1928
802	7821	1918
803	7830	1909
804	7841	1899
805	7853	1890
806	7863	1880
807	7874	1871
808	7885	1861
809	7895	1852
810	7909	1843
811	7917	1833
812	7927	1823
813	7936	1813
814	7944	1803
815	7954	1793
816	7963	1783
817	7973	1774
818	7984	1764
819	7994	1754
820	8002	1744
821	8010	1734
822	8021	1725
823	8031	1715
824	8040	1705
825	8050	1695
826	8060	1686
827	8070	1676
828	8080	1666
829	8090	1657
830	8104	1648
831	8118	1639
832	8135	1630
833	8147	1621
834	8163	1613
835	8175	1603
836	8184	1593
837	8193	1583
838	8204	1574
839	8213	1564
840	8222	1554
841	8233	1544
842	8243	1535
843	8251	1525
844	8261	1515
845	8272	1505
846	8282	1496
847	8292	1486
848	8301	1476
849	8310	1466
850	8321	1456
851	8330	1447
852	8340	1437
853	8350	1427
854	8359	1417
855	8371	1408
856	8383	1398
857	8394	1389
858	8405	1379
859	8416	1370
860	8425	1360
861	8436	1350
862	8446	1340
863	8457	1331
864	8467	1321
865	8477	1311
866	8487	1301
867	8497	1292
868	8507	1282
869	8515	1272
870	8525	1262
871	8536	1253
872	8544	1243
873	8554	1233
874	8562	1223
875	8571	1213
876	8582	1203
877	8591	1193
878	8600	1183
879	8609	1174
880	8618	1164
881	8627	1154
882	8637	1144
883	8647	1134
884	8657	1124
885	8666	1115
886	8677	1105
887	8687	1095
888	8696	1085
889	8705	1075
890	8714	1066
891	8723	1056
892	8732	1046
893	8741	1036
894	8750	1026
895	8759	1016
896	8768	1006
897	8777	996
898	8786	987
899	8796	977
900	8805	967
901	8816	957
902	8826	948
903	8836	938
904	8845	928
905	8855	918
906	8864	908
907	8874	899
908	8883	889
909	8893	879
910	8902	869
911	8912	859
912	8921	850
913	8931	840
914	8941	830
915	8951	820
916	8960	811
917	8970	801
918	8979	791
919	8989	781
920	8998	771
921	9007	762
922	9017	752
923	9027	742
924	9037	732
925	9046	722
926	9057	713
927	9065	703
928	9076	693
929	9085	683
930	9096	674
931	9105	664
932	9115	654
933	9125	644
934	9134	634
935	9143	625
936	9152	615
937	9161	605
938	9170	595
939	9181	586
940	9189	576
941	9199	566
942	9208	556
943	9218	546
944	9227	537
945	9236	527
946	9246	517
947	9255	507
948	9267	498
949	9277	488
950	9286	478
951	9295	468
952	9304	458
953	9313	449
954	9324	439
955	9333	429
956	9342	419
957	9351	409
958	9362	400
